input,target
"1. Приве, как дела?","Привет, как дела?"
2. Сегодня хршая погода,Сегодня хорошая погода
3. Я иду мага зин за хлебом,Я иду в магазин за хлебом
4. У меня есть новая машна,У меня есть новая машина
5. Сегодня я читаю книгу про историю,Сегодня я читаю книгу про историю
6. Мне нравится кататься на велосипеде летом,Мне нравится кататься на велосипеде летом
7. Я люблю есть мороженое в жару,Я люблю есть мороженое в жару
8. Мой друг приходит ко мне завтра,Мой друг приходит ко мне завтра
9. У меня есть домашнее задание по математике,У меня есть домашнее задание по математике
10. Сегодня я пойду в парк с друзьями,Сегодня я пойду в парк с друзьями
11. Я люблю смотреть футбол по телевизору,Я люблю смотреть футбол по телевизору
12. Мне нравится читать книги про фантастику,Мне нравится читать книги про фантастику
"13. У меня есть кот, его зовут Мурка","У меня есть кот, его зовут Мурка"
14. Сегодня я буду делать уроки,Сегодня я буду делать уроки
15. Мой любимый предмет в школе - информатика,Мой любимый предмет в школе - информатика
16. Я люблю играть в компьютерные игры,Я люблю играть в компьютерные игры
"17. У меня есть младший брат, ему 5 лет","У меня есть младший брат, ему 5 лет"
18. Сегодня я пойду в магазин с мамой,Сегодня я пойду в магазин с мамой
19. Мне нравится кататься на лыжах зимой,Мне нравится кататься на лыжах зимой
20. Я люблю есть шоколадные конфеты,Я люблю есть шоколадные конфеты
21. У меня есть домашняя работа по русскому языку,У меня есть домашняя работа по русскому языку
22. Сегодня я буду смотреть фильм про приключения,Сегодня я буду смотреть фильм про приключения
23. Мой друг учится в другом городе,Мой друг учится в другом городе
"24. Я люблю играть в спорт, особенно в футбол","Я люблю играть в спорт, особенно в футбол"
"25. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
26. Сегодня я пойду в библиотеку,Сегодня я пойду в библиотеку
27. Мне нравится читать книги про историю,Мне нравится читать книги про историю
"28. Я люблю есть фрукты, особенно яблоки","Я люблю есть фрукты, особенно яблоки"
29. У меня есть домашнее задание по географии,У меня есть домашнее задание по географии
30. Сегодня я буду делать проект по науке,Сегодня я буду делать проект по науке
31. Мой любимый сезон - лето,Мой любимый сезон - лето
32. Я люблю кататься на велосипеде по трассе,Я люблю кататься на велосипеде по трассе
"33. У меня есть младшая сестра, ей 3 года","У меня есть младшая сестра, ей 3 года"
34. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
35. Мне нравится смотреть документальные фильмы,Мне нравится смотреть документальные фильмы
"36. Я люблю есть пирожные, особенно с вишней","Я люблю есть пирожные, особенно с вишней"
37. У меня есть домашняя работа по английскому языку,У меня есть домашняя работа по английскому языку
38. Сегодня я буду делать презентацию по истории,Сегодня я буду делать презентацию по истории
"39. Мой друг имеет собаку, ее зовут Беляш","Мой друг имеет собаку, ее зовут Беляш"
40. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"41. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
42. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
43. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"44. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
45. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
46. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
47. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
48. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"49. У меня есть младший брат, ему 7 лет","У меня есть младший брат, ему 7 лет"
50. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"51. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"52. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
53. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
54. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
55. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
56. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"57. У меня есть младшая сестра, ей 5 лет","У меня есть младшая сестра, ей 5 лет"
58. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
59. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"60. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
61. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
62. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"63. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
64. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"65. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
66. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
